Goutdf.B.time,,Goutdf.B.Plasma,Goutdf.B.Liver,Goutdf.B.Kidney,Goutdf.B.Spleen,Goutdf.B.Lung,Goutdf.B.Brain,Goutdf.B.BAL,conf_intervals.time,conf_intervals.Plasma_mean,conf_intervals.Plasma_lower,conf_intervals.Plasma_upper,conf_intervals.Liver_mean,conf_intervals.Liver_lower,conf_intervals.Liver_upper,conf_intervals.Kidney_mean,conf_intervals.Kidney_lower,conf_intervals.Kidney_upper,conf_intervals.Spleen_mean,conf_intervals.Spleen_lower,conf_intervals.Spleen_upper,conf_intervals.Lung_mean,conf_intervals.Lung_lower,conf_intervals.Lung_upper,conf_intervals.Brain_mean,conf_intervals.Brain_lower,conf_intervals.Brain_upper,conf_intervals.BAL_mean,conf_intervals.BAL_lower,conf_intervals.BAL_upper
0.7,,43.96994175,254.1453588,15.71550238,121.685106,36.78403157,2.648754395,7.905003987,0.7,43.86327849,38.37850025,48.9894933,254.5295297,222.7655785,288.0741346,15.67795646,13.7611264,17.45753605,121.7925738,105.6265218,137.9239705,36.7112329,33.22478425,39.95281615,2.642338071,2.312722142,2.950369311,7.905003983,7.905003839,7.905004112
0.75,,41.30915494,259.6548256,14.84838129,123.8606294,35.88324277,2.489243713,7.905004424,0.75,41.20976061,35.92752862,46.17398813,260.0244635,227.5377312,294.1608897,14.81323315,12.96525642,16.54160103,123.968229,107.3124769,140.5835015,35.81303502,32.37440737,39.0235474,2.483263668,2.165780206,2.781596927,7.905004419,7.905004253,7.90500457
0.8,,39.04319308,264.9391353,14.11260938,125.9902243,35.15361258,2.35351759,7.905004873,0.8,38.95015945,33.85322754,43.76520064,265.2940614,232.1393703,299.917797,14.07955557,12.28923166,15.76119801,126.0976721,108.9891278,143.1799954,35.08561331,31.68817267,38.26986591,2.347919154,2.041532424,2.637323955,7.905004868,7.905004676,7.905005041
0.85,,37.09420298,270.0227747,13.48219654,128.0736404,34.56013103,2.236886879,7.905005333,0.85,37.00671896,32.07815605,41.68539502,270.36292,236.6586303,305.4031332,13.45096548,11.71904116,15.09009553,128.1807139,110.6505216,145.6875269,34.49399763,31.13109851,37.65693675,2.231621216,1.935313567,2.512868208,7.905005327,7.905005109,7.905005524
0.9,,35.40032177,274.925707,12.93649353,130.110912,34.07501078,2.135625528,7.905005803,0.9,35.31768358,30.54204219,39.87228416,275.2510671,241.0921511,310.6710133,12.90684928,11.22784966,14.5067925,130.2174388,112.2600216,148.1239116,34.01044609,30.67575395,37.15553664,2.130650414,1.843491304,2.404478725,7.905005796,7.905005552,7.905006019
0.95,,33.91238008,279.664289,12.45909155,132.1022989,33.67619713,2.046772033,7.905006283,0.95,33.83399141,29.19658201,38.27593648,279.9748966,245.4471756,315.80978,12.43083335,10.79768727,13.99436178,132.2081434,113.8763664,150.4921996,33.61295042,30.30062118,36.74400147,2.042051528,1.763158279,2.309148459,7.905006276,7.905006002,7.905006524
1,,32.59130185,284.2519757,12.03693962,134.0482312,33.346193,1.967972566,7.905006772,1,32.51664813,28.00423727,36.8563079,284.5479141,249.6047095,320.8254421,12.00990524,10.41814194,13.54510183,134.1532864,115.434685,152.7955872,33.28404885,29.98883186,36.40520821,1.963475605,1.692051816,2.224465979,7.905006764,7.905006461,7.90500704
1.05,,31.40598966,288.7000378,11.65970507,135.9492674,33.07110327,1.897354811,7.905007271,1.05,31.33464558,26.93550956,35.58128174,288.9813167,253.5732489,325.6753149,11.63371715,10.0792536,13.14288307,136.0534492,116.9638101,155.0377174,33.00988564,29.72734968,36.12487136,1.893055625,1.628394832,2.148496601,7.905007262,7.905006928,7.905007566
1.1,,30.33170057,293.0176752,11.3190484,137.8060628,32.83990099,1.83342686,7.905007778,1.1,30.26330672,25.96718299,34.42508805,293.2844663,257.4440907,330.3716321,11.29404313,9.77341973,12.7761882,137.9093068,118.4325294,157.2211089,32.77946271,29.50567935,35.89155065,1.829304387,1.570788683,2.079687764,7.905007768,7.905007402,7.905008102
1.15,,29.34871816,297.2129517,11.00848648,139.6193484,32.64382703,1.775002755,7.905008293,1.15,29.28298344,25.08095963,33.36567422,297.4652609,261.3586645,334.9245504,10.98432876,9.486657597,12.4436345,139.7216026,119.857989,159.3466747,32.58405136,29.31556896,35.69642935,1.771038853,1.518131012,2.01670699,7.905008283,7.905007884,7.905008648
