"X1.simulation.time","X1.simulation.CL","X1.simulation.CK","X1.simulation.CBr","X1.simulation.CS","X1.simulation.Clu","X1.conf_intervals.time","X1.conf_intervals.CL_mean","X1.conf_intervals.CL_lower","X1.conf_intervals.CL_upper"
1,0.000291668695988642,5.12407977990647e-06,7.09855188675735e-07,6.83038332210924e-05,1.27421339435495e-05,1,0.000280476478494601,0.00025743957324379,0.000302229464971675
2,0.00030918482940188,3.58124171296094e-06,4.78674666859283e-07,7.437088748554e-05,1.09819137492679e-05,2,0.00030933053146109,0.000293206647128441,0.00032331720049964
3,0.000326700962815117,2.03840364601541e-06,2.47494145042831e-07,8.04379417499876e-05,9.2216935549864e-06,3,0.000327629999667776,0.000316439642360497,0.000337161337104812
4,0.000335396905335457,1.27249296409154e-06,1.36679439655926e-07,8.34499110172159e-05,8.34787196431816e-06,4,0.000335678639092209,0.000326738663039701,0.000343073199586716
5,0.000338784026030555,9.74210376424808e-07,9.83122222013531e-08,8.46230423150457e-05,8.00756856048579e-06,5,0.000338481631043366,0.000331181433376,0.000344672589091337
6,0.000341422401173619,7.41864575499559e-07,7.0154642029998e-08,8.55368444859536e-05,7.74249066102857e-06,6,0.000339857423466346,0.000332849748506123,0.000345525267473157
7,0.000341570206229293,7.28845872104948e-07,7.59576204910824e-08,8.55880340315913e-05,7.72763714086311e-06,7,0.000340327295312964,0.000333593554536968,0.000345785759082936
8,0.000341718011284968,7.15827168710335e-07,8.17605989521669e-08,8.5639223577229e-05,7.71278362069766e-06,8,0.000340761313429708,0.000334283549552848,0.000346167353483427
9,0.000341865816340643,7.02808465315724e-07,8.75635774132514e-08,8.56904131228668e-05,7.6979301005322e-06,9,0.00034119422225532,0.000334923320355965,0.000346443800080331
10,0.000342013621396318,6.89789761921111e-07,9.33665558743359e-08,8.57416026685045e-05,7.68307658036674e-06,10,0.000341625089235782,0.00033561620752906,0.000346701277864663
11,0.000342161426451993,6.767710585265e-07,9.91695343354204e-08,8.57927922141422e-05,7.66822306020129e-06,11,0.000342021117189792,0.000336136449567838,0.000347054198392336
